loop_cnt,region,inherit,reward,outcome,h,g,f
88303,0,0,0.1,2,3,59,62
88305,3,2,0.1,2,12,50,62
88306,0,0,0.1,2,3,59,62
88307,2,2,0.1,2,8,54,62
88309,3,5,0.1,2,14,47,61
88312,0,0,0.1,2,5,57,62
88313,2,1,0.1,2,8,54,62
88314,3,5,0.1,2,13,49,62
88315,0,1,0,0,3,59,62
88316,2,2,0.1,2,8,54,62
88318,3,6,0.1,2,13,49,62
88319,2,1,0.1,2,8,54,62
88320,3,5,0.1,2,14,48,62
88323,2,2,0.1,2,8,54,62
88326,3,4,0.1,2,12,50,62
88328,2,1,0.1,2,8,54,62
88329,3,5,0.1,2,14,48,62
88334,3,2,0.1,2,12,50,62
88336,2,2,0.1,2,8,54,62
88337,3,5,0.1,2,12,50,62
88341,2,0,0.1,2,9,53,62
88343,3,5,0.1,2,14,47,61
88345,2,2,0.1,2,8,54,62
88346,3,4,0.1,2,13,49,62
88348,2,3,0.1,2,8,54,62
88350,0,0,0.1,2,6,56,62
88352,1,1,0.1,2,25,37,62
88358,3,5,0.1,2,13,49,62
88359,2,1,0.1,2,8,54,62
88362,0,3,0.1,2,16,45,61
88364,1,4,0.1,2,24,38,62
88365,3,4,0.1,2,13,49,62
88366,2,1,0.1,2,8,54,62
88370,0,0,0.1,2,4,58,62
88371,1,3,0.1,2,25,37,62
88372,3,4,0.1,2,12,50,62
88375,1,5,0.1,2,23,39,62
88376,2,3,0.1,2,8,54,62
88379,0,1,0,0,3,59,62
88380,3,5,0.1,2,14,48,62
88381,1,5,0.1,2,28,34,62
88384,2,2,0.1,2,8,54,62
88385,3,5,0.1,2,13,49,62
88386,1,3,0.1,2,28,34,62
88387,2,1,0.1,2,8,54,62
88388,3,5,0.1,2,13,48,61
88390,1,4,0.1,2,23,39,62
88392,2,1,0.1,2,8,54,62
88394,3,5,0.1,2,13,49,62
88395,1,5,0.1,2,23,39,62
88397,3,4,0.1,2,13,49,62
88398,2,2,0.1,2,8,54,62
88401,1,2,0.1,2,26,36,62
88404,3,4,0.1,2,12,50,62
88406,1,5,0.1,2,23,39,62
88407,2,1,0.1,2,8,54,62
88409,1,3,0,0,25,37,62
88410,3,4,0.1,2,13,49,62
88412,2,1,0.1,2,8,54,62
88414,3,2,0.1,2,13,49,62
88416,2,3,0.1,2,8,54,62
88417,0,1,0,0,3,59,62
88419,3,4,0.1,2,13,49,62
88421,2,2,0.1,2,8,54,62
88422,3,2,0.1,2,13,49,62
88424,2,1,0.1,2,8,54,62
88425,3,5,0.1,2,13,49,62
88428,2,3,0.1,2,8,54,62
88430,3,3,0.1,2,12,50,62
88431,2,2,0.1,2,8,54,62
88432,3,4,0.1,2,12,49,61
88434,2,1,0.1,2,8,54,62
88435,3,3,0.1,2,12,49,61
88437,3,4,0.1,2,13,49,62
88439,2,1,0.1,2,8,54,62
88440,3,4,0.1,2,12,50,62
88441,2,2,0.1,2,8,54,62
88442,0,2,0.1,2,3,59,62
88443,3,2,0.1,2,12,50,62
88444,2,2,0.1,2,8,54,62
88445,0,3,0.1,2,3,59,62
88446,3,3,0.1,2,13,49,62
88450,2,2,0.1,2,8,54,62
88451,3,4,0.1,2,12,49,61
88452,0,2,0.1,2,3,59,62
88454,2,3,0,0,8,54,62
88455,3,5,0.1,2,14,47,61
88456,0,0,0.1,2,4,58,62
88457,3,5,0.1,2,13,49,62
88460,0,0,0.1,2,5,57,62
88461,3,5,0.1,2,13,49,62
88462,1,5,0.1,2,23,39,62
88463,0,2,0.1,2,3,59,62
88466,3,6,0.1,2,13,49,62
88467,1,5,0.1,2,28,33,61
88470,0,1,0.1,2,4,58,62
88472,3,2,0.1,2,12,50,62
88474,1,4,0.1,2,28,34,62
88475,0,3,0.1,2,3,59,62
88476,1,6,0,0,26,36,62
88477,3,5,0.1,2,14,48,62
88478,0,0,0.1,2,4,58,62
88479,3,3,0.1,2,13,49,62
88481,0,1,0.1,2,3,59,62
88483,3,5,0.1,2,13,49,62
88484,0,0,0.1,2,4,58,62
88485,3,3,0.1,2,13,49,62
88487,2,3,0.1,2,8,54,62
88488,0,2,0.1,2,3,59,62
88489,3,2,0.1,2,12,50,62
88491,2,1,0.05,1,8,54,62
88492,0,1,0.1,2,3,59,62
88493,3,5,0.1,2,13,49,62
88494,0,1,0.1,2,3,59,62
88495,3,6,0.1,2,12,50,62
88497,0,0,0.1,2,5,57,62
88499,3,5,0.1,2,14,48,62
88500,3,4,0.1,2,13,47,60
88503,0,1,0.1,2,3,59,62
88505,3,5,0.1,2,14,48,62
88506,0,3,0.1,2,3,59,62
88508,2,4,0.1,2,8,54,62
88509,3,8,0.1,2,14,48,62
88510,0,0,0.1,2,4,58,62
88511,2,2,0.1,2,8,54,62
88512,3,3,0.1,2,12,50,62
88514,0,2,0.1,2,3,59,62
88515,2,3,0.1,2,8,54,62
88516,3,6,0.1,2,13,49,62
88519,0,0,0.1,2,3,59,62
88520,2,2,0.1,2,8,54,62
88521,3,5,0.1,2,13,49,62
88522,0,1,0.1,2,3,59,62
88523,2,2,0.1,2,8,54,62
88526,3,6,0.1,2,13,49,62
88532,0,1,0.1,2,3,59,62
88533,2,1,0.1,2,8,54,62
88536,3,6,0.1,2,13,49,62
88537,1,5,0.1,2,28,34,62
88540,0,3,0.1,2,3,59,62
88541,3,4,0.1,2,13,49,62
88547,2,2,0.1,2,8,54,62
88549,1,6,0.1,2,28,34,62
88550,0,1,0.1,2,3,59,62
88551,1,5,0.1,2,23,39,62
88552,3,4,0.1,2,14,46,60
88556,2,1,0.1,2,8,54,62
88557,0,0,0.1,2,3,59,62
88558,1,2,0,0,26,36,62
88559,3,3,0.1,2,13,49,62
88560,2,1,0.1,2,8,54,62
88561,0,1,0.1,2,3,59,62
88562,3,4,0.1,2,13,49,62
88565,2,2,0.1,2,8,54,62
88566,0,0,0.1,2,5,57,62
88568,3,5,0.1,2,14,48,62
88570,2,3,0,0,8,54,62
88571,0,1,0.1,2,3,59,62
88572,3,5,0.1,2,14,48,62
88573,0,2,0.1,2,3,59,62
88574,3,4,0.1,2,13,49,62
88576,3,6,0.1,2,13,48,61
88577,0,1,0.1,2,3,59,62
88579,3,5,0.1,2,12,49,61
88583,0,1,0.1,2,3,59,62
88584,3,5,0.1,2,13,49,62
88587,0,0,0.1,2,3,59,62
88588,3,3,0.1,2,12,49,61
88589,0,2,0.1,2,3,59,62
88591,3,4,0.1,2,12,49,61
88594,0,0,0.1,2,4,58,62
88596,3,2,0.1,2,12,50,62
88599,0,1,0.1,2,3,59,62
88602,3,4,0.1,2,13,49,62
88604,2,1,0.1,2,8,54,62
88605,0,2,0.1,2,3,59,62
88607,3,4,0.1,2,13,49,62
88613,2,1,0.1,2,9,53,62
88614,0,1,0.1,2,3,59,62
88617,3,5,0.1,2,12,50,62
88619,2,1,0,0,8,54,62
88620,0,2,0.1,2,3,59,62
88622,3,3,0.1,2,13,49,62
88623,0,0,0.1,2,4,58,62
88624,3,3,0.1,2,12,49,61
88625,1,4,0.1,2,23,39,62
88628,0,0,0.1,2,6,56,62
88629,1,5,0.1,2,23,39,62
88630,3,1,0.1,2,12,50,62
88631,0,1,0.1,2,3,59,62
88633,1,4,0.1,2,23,39,62
88634,3,4,0.1,2,14,48,62
88635,1,2,0.1,2,26,36,62
88638,0,2,0.1,2,3,59,62
88639,3,5,0.1,2,14,48,62
88641,1,4,0.1,2,23,39,62
88643,0,0,0.1,2,4,58,62
88644,3,6,0.1,2,14,48,62
88647,1,6,0.1,2,24,38,62
88648,3,2,0.1,2,12,50,62
88649,0,1,0,0,3,59,62
88652,1,2,0,0,26,36,62
88653,3,2,0.1,2,12,50,62
88655,3,3,0.1,2,12,50,62
88658,2,1,0.1,2,8,54,62
88660,3,3,0.1,2,13,49,62
88661,2,1,0.1,2,8,54,62
88662,3,5,0.1,2,12,50,62
88663,2,1,0.1,2,8,54,62
88666,3,5,0.1,2,13,49,62
88667,2,1,0.1,2,8,54,62
88668,3,4,0.1,2,13,49,62
88670,2,2,0.1,2,9,53,62
88671,3,6,0.1,2,14,48,62
88674,2,1,0.1,2,8,54,62
88675,3,4,0.1,2,13,49,62
88677,0,1,0.1,2,3,59,62
88678,3,4,0.1,2,12,50,62
88680,2,2,0.1,2,8,54,62
88681,0,0,0.1,2,4,58,62
88683,3,3,0.1,2,12,50,62
88685,2,2,0,0,8,54,62
88687,0,0,0.1,2,3,59,62
88688,3,6,0.1,2,13,49,62
88690,0,1,0.1,2,3,59,62
88692,3,4,0.1,2,13,49,62
88693,0,0,0.1,2,4,58,62
88695,3,3,0.1,2,13,49,62
88696,0,0,0.1,2,4,58,62
88697,3,5,0.1,2,14,48,62
88700,0,1,0.1,2,3,59,62
88701,3,7,0.1,2,14,48,62
88703,0,3,0.1,2,3,59,62
88704,1,4,0.1,2,28,34,62
88705,3,6,0.1,2,14,48,62
88706,0,2,0.1,2,3,59,62
88707,1,7,0,0,28,34,62
88708,3,4,0.1,2,13,49,62
88709,0,3,0.1,2,3,59,62
88711,3,6,0.1,2,13,48,61
88715,0,1,0,0,3,59,62
88716,3,5,0.1,2,12,50,62
88717,2,3,0.1,2,8,54,62
88718,3,3,0.1,2,12,50,62
88719,2,2,0.1,2,8,54,62
88722,3,4,0.1,2,12,50,62
88728,2,2,0,0,8,54,62
88729,3,6,0.1,2,14,48,62
88730,3,6,0.1,2,14,48,62
88731,3,3,0.1,2,12,50,62
88732,3,5,0.1,2,13,49,62
88735,3,2,0.1,2,13,49,62
88736,3,6,0.1,2,13,49,62
88737,0,2,0.1,2,3,59,62
88738,3,5,0.1,2,14,48,62
88740,0,1,0.1,2,3,59,62
88741,3,5,0.1,2,13,48,61
88743,0,0,0.1,2,4,58,62
88748,3,3,0.1,2,13,49,62
88749,0,1,0,0,3,59,62
88750,2,2,0.1,2,8,54,62
88753,3,5,0.1,2,13,49,62
88754,2,1,0.1,2,9,53,62
88755,3,2,0.1,2,13,49,62
88756,1,4,0.1,2,28,34,62
88757,2,3,0.1,2,8,54,62
88758,3,4,0.1,2,13,49,62
88761,1,4,0.1,2,23,39,62
88764,2,2,0.1,2,8,54,62
88765,1,6,0.1,2,23,39,62
88768,3,6,0.1,2,14,48,62
88770,2,1,0.1,2,8,54,62
88771,1,2,0,0,28,34,62
