reduce_sec,add_K,add_Q,service_time_sec,mu,K,Q,total_cost,rho,throughput,side_buffer_rate,rejected_rate,profit_rate
2,0,2,13,4.615384615384615,3,4,14,0.7583333333333334,3.3630360073819068,1.147008769215004,0.136963992618093,53.975730215375314
1,0,10,14,4.285714285714286,3,12,16,0.8166666666666667,3.4679870468647236,1.8094052742483218,0.03201295313527625,53.924110149249614
0,2,4,15,4.0,5,6,14,0.875,3.373890817843286,1.2390855018391598,0.12610918215671418,53.78185687745101
1,0,9,14,4.285714285714286,3,11,15,0.8166666666666667,3.4604386150450615,1.7865464909653253,0.03956138495493842,53.72955882453048
1,0,8,14,4.285714285714286,3,10,14,0.8166666666666667,3.451003669902749,1.7579748125760057,0.048996330097250955,53.4863849945294
0,2,3,15,4.0,5,5,13,0.875,3.3504881290292285,1.1358881287865707,0.14951187097077168,53.43730142116887
1,1,1,14,4.285714285714286,4,3,12,0.8166666666666667,3.3061912997799197,0.8837356485823449,0.19380870022008032,53.23967980033723
1,0,7,14,4.285714285714286,3,9,13,0.8166666666666667,3.4391526952936333,1.7220867146565897,0.06084730470636639,53.18094104742895
0,2,2,15,4.0,5,4,12,0.875,3.32150437164618,1.0080802667546016,0.17849562835381996,53.01057644827218
1,0,6,14,4.285714285714286,3,8,12,0.8166666666666667,3.4241748808117345,1.6767296625596424,0.07582511918826557,52.79490674010958
2,0,1,13,4.615384615384615,3,3,13,0.7583333333333334,3.3120324899871307,1.005754675369793,0.18796751001286927,52.555587096398185
0,1,10,15,4.0,4,12,15,0.875,3.4423945000496006,1.8271627478739445,0.0576054999503994,52.502423019488475
0,2,1,15,4.0,5,3,11,0.875,3.2850424285121678,0.8472963167683635,0.21495757148783187,52.473750891461485
0,1,9,15,4.0,4,11,14,0.875,3.4330634534193343,1.7908021923891588,0.06693654658066574,52.326755131853446
1,0,5,14,4.285714285714286,3,7,11,0.8166666666666667,3.405096904266729,1.6189561618194712,0.0949030957332711,52.30319591878067
0,1,8,15,4.0,4,10,13,0.875,3.4220095433843536,1.747728105946695,0.07799045661564673,52.11865232164411
1,1,0,14,4.285714285714286,4,2,11,0.8166666666666667,3.248771731604216,0.6843119014195865,0.25122826839578405,51.964091368854106
0,1,7,15,4.0,4,9,12,0.875,3.408836657961492,1.6963969476863698,0.09116334203850816,51.87065731658363
0,2,0,15,4.0,5,2,10,0.875,3.238259001318058,0.640998364119042,0.2617409986819421,51.78496315295055
1,0,4,14,4.285714285714286,3,6,10,0.8166666666666667,3.3805533103528,1.544631228155368,0.11944668964720029,51.67061569239704
0,1,6,15,4.0,4,8,11,0.875,3.393027033928901,1.6347911348972635,0.10697296607109885,51.57302261726695
0,1,5,15,4.0,4,7,10,0.875,3.373890817843286,1.5602224959952844,0.12610918215671418,51.212760924202016
1,0,3,14,4.285714285714286,3,5,9,0.8166666666666667,3.3485708293270893,1.4477792435199681,0.15142917067291056,50.84630751819471
0,1,4,15,4.0,4,6,9,0.875,3.3504881290292285,1.4690285711512485,0.14951187097077168,50.77217788225144
2,0,0,13,4.615384615384615,3,2,12,0.7583333333333334,3.238063453022189,0.800897641526165,0.261936546977811,50.495991518900134
0,1,3,15,4.0,4,5,8,0.875,3.32150437164618,1.3560867372667675,0.17849562835381996,50.226524684174855
1,0,2,14,4.285714285714286,3,4,8,0.8166666666666667,3.3061912997799197,1.3194420597580716,0.19380870022008032,49.75402851093141
0,0,10,15,4.0,3,12,10,0.875,3.4330634534193343,2.123129987394085,0.06693654658066574,49.66813277181404
0,1,2,15,4.0,4,4,7,0.875,3.2850424285121678,1.2140044437213662,0.21495757148783187,49.54008587583746
0,0,9,15,4.0,3,11,9,0.875,3.4220095433843536,2.0865355000712476,0.07799045661564673,49.40819316864769
0,0,8,15,4.0,3,10,8,0.875,3.408836657961492,2.0429260453998612,0.09116334203850816,49.098424534875704
0,0,7,15,4.0,3,9,7,0.875,3.393027033928901,1.9905875439638425,0.10697296607109885,48.726651344734314
0,1,1,15,4.0,4,3,6,0.875,3.238259001318058,1.0317021289154102,0.2617409986819421,48.6593330345796
0,0,6,15,4.0,3,8,6,0.875,3.373890817843286,1.9272362036022843,0.12610918215671418,48.27665126334602
1,0,1,14,4.285714285714286,3,3,7,0.8166666666666667,3.248771731604216,1.1455593916106581,0.25122826839578405,48.27411144732553
0,0,5,15,4.0,3,7,5,0.875,3.3504881290292285,1.8497605052823085,0.14951187097077168,47.726322409202965
0,1,0,15,4.0,4,2,5,0.875,3.1766892350792117,0.7917814651121342,0.3233107649207881,47.500210033063524
0,0,4,15,4.0,3,6,4,0.875,3.32150437164618,1.7538084178520998,0.17849562835381996,47.0447512394922
